AT1G06190	26
AT3G50670	90
AT5G59170	0
AT2G46660	16
AT3G20620	42
AT2G41220	3
AT3G09770	72
AT4G22890	13
AT3G15290	69
AT2G41890	13
AT3G50890	66
AT2G34630	42
AT2G43010	13
AT5G20300	93
AT2G25590	86
AT1G64890	25
AT3G15530	6
AT5G25130	7
AT3G01730	30
AT5G07710	99
AT3G27050	60
AT5G54060	16
AT1G16280	94
AT5G59710	42
AT5G06000	94
AT5G62480	49
AT5G02070	67
AT1G53320	33
AT3G23820	76
AT1G31690	44
AT5G64620	54
AT4G31820	88
AT1G75280	9
AT1G29600	0
AT4G17030	56
AT4G38010	1
AT5G65685	23
AT4G12600	20
AT5G61360	75
AT1G30610	28
AT5G65860	28
AT1G02820	7
AT4G13800	4
AT4G37970	4
AT2G25100	74
AT3G43230	90
AT3G57000	94
AT2G01520	62
AT5G41050	44
AT5G52010	37
AT3G01510	71
AT4G34370	90
AT2G41550	38
AT1G74880	40
AT1G74730	13
AT4G14600	69
AT5G51700	45
AT3G06390	88
AT3G18420	1
AT3G14770	48
AT1G10850	52
AT5G58440	97
AT1G70140	31
AT3G61310	39
AT3G61640	66
AT2G43900	12
AT5G03650	13
AT4G25450	41
AT3G26830	35
AT3G28750	0
AT2G06010	10
AT5G61810	8
AT5G38220	87
AT4G30270	69
AT2G33620	46
AT1G24290	38
AT4G39630	100
AT5G11340	81
AT3G17790	31
AT1G15220	10
AT2G31240	28
AT5G15840	54
AT4G34950	80
AT3G44610	19
AT3G55890	87
AT2G24270	14
AT5G14640	42
AT1G52140	29
AT3G48510	4
AT2G32020	53
AT2G40900	49
AT3G28130	13
AT3G53720	59
AT2G29370	14
AT1G21000	90
AT4G35020	38
AT1G24070	92
AT5G18780	34
AT5G11160	66
AT5G11690	40
AT5G46550	93
ATCG00490	43
AT1G50890	3
AT1G52000	74
AT3G55760	25
AT3G55090	42
AT2G21680	64
AT1G63970	23
AT5G08400	1
AT5G16960	67
AT4G23440	12
AT2G40840	8
AT3G07110	58
AT1G66330	7
AT3G11820	69
AT1G05160	90
AT5G23480	28
AT3G22060	60
AT4G00400	73
AT4G20860	56
AT5G46330	69
AT3G23620	94
AT5G46880	83
AT4G00150	29
AT1G63810	28
AT3G16440	32
AT3G27530	68
AT1G11850	36
AT3G03270	3
AT1G11580	39
AT3G25210	38
AT5G63420	1
AT4G36360	76
AT5G60190	10
AT1G05170	85
AT3G46110	17
AT2G19710	78
AT2G37380	71
AT3G27280	94
AT4G17550	7
AT3G45700	39
AT4G33700	47
AT5G60270	75
AT4G15770	94
AT2G20550	78
AT5G17690	90
AT1G01710	99
AT2G38480	3
AT5G67210	30
AT1G32560	97
AT3G50060	68
AT1G64660	15
AT5G44010	79
AT5G60990	28
AT4G29010	57
AT2G47450	48
AT4G17730	12
AT1G66800	62
AT1G79630	42
AT3G07800	91
AT4G02850	16
AT3G22930	62
AT1G12820	19
AT1G32780	14
AT5G40480	28
AT3G17970	81
AT3G26220	6
AT3G15940	92
AT3G21870	48
AT1G64405	35
AT3G21700	85
AT3G05400	76
AT1G64400	76
AT4G03320	42
AT5G55660	9
AT5G05960	62
AT3G47640	46
AT1G13990	57
AT1G17470	38
AT4G19230	56
AT5G17030	89
AT3G18210	28
AT2G23170	83
AT1G71730	38
AT5G59540	71
AT1G71040	60
AT2G17820	24
AT5G23890	5
AT2G26250	66
AT5G53970	49
AT1G76190	13
AT1G49900	84
AT1G49450	16
AT2G25950	33
AT5G55480	65
AT1G11840	2
AT4G28270	86
AT4G30900	12
AT5G13470	10
AT3G53260	14
AT2G46270	49
AT3G54960	32
AT5G16120	10
AT1G45170	38
AT2G16380	39
AT1G23090	29
AT1G23720	13
AT5G02800	77
AT5G14270	33
AT3G62890	26
AT4G26230	81
AT4G29270	62
AT5G26790	37
AT3G06980	28
AT5G65470	3
AT2G18300	39
AT5G54530	70
AT3G53000	59
AT1G10460	1
AT3G54100	50
AT1G68150	86
AT5G54280	27
AT3G25110	21
ATMG00160	38
AT1G23890	75
AT4G37560	7
AT5G58140	14
AT3G17890	20
AT2G43220	67
AT5G07030	21
AT3G19920	84
AT4G18340	39
AT5G52970	37
AT1G10640	14
AT5G08650	23
AT2G35155	23
AT5G62290	20
AT5G02710	40
AT1G73080	62
AT2G45770	37
AT2G39710	71
AT2G20310	1
AT4G29900	12
AT3G43390	64
AT4G17860	67
AT2G32720	66
AT2G38400	93
AT3G61960	77
AT5G65460	85
AT5G14780	6
AT4G27430	14
AT5G19310	4
AT3G29410	22
AT3G59870	71
AT3G61780	28
AT2G34090	80
AT5G15780	14
AT2G25840	40
AT1G69200	26
AT2G12400	73
AT3G04260	37
AT5G22940	70
AT4G14410	34
AT3G55950	82
AT4G34030	86
AT1G78320	91
AT3G48700	49
AT3G05130	47
AT1G01520	7
AT5G23010	16
AT5G48460	100
AT4G19430	17
AT3G18980	10
AT2G15830	54
AT3G17630	89
AT5G08740	23
AT1G53540	4
AT4G29430	26
AT2G31380	48
AT2G28780	96
AT1G11100	0
AT3G61870	23
AT1G08210	90
AT1G61430	0
AT5G33370	100
AT1G14340	31
AT3G11410	4
AT1G61120	17
AT1G14345	74
AT3G16850	70
AT4G05470	55
AT1G04350	14
AT3G19580	61
AT2G45990	14
AT4G11460	39
AT3G07320	71
AT1G13340	90
AT4G01410	69
AT5G56900	90
AT3G11670	60
AT3G22231	62
AT1G15960	85
AT5G18040	42
AT5G39860	83
AT4G32390	65
AT1G50930	30
AT1G44414	97
AT3G55370	66
AT3G02660	44
AT4G36880	18
AT4G36550	75
AT5G10770	52
AT2G21540	69
AT1G48260	3
AT1G33240	66
AT5G40420	97
AT4G30860	70
AT1G56680	32
AT2G33830	68
AT3G07720	46
AT2G33380	49
AT2G23030	35
AT3G08510	8
AT5G24530	77
AT5G24240	63
AT1G77380	18
AT1G26620	96
AT2G43235	31
AT4G00895	44
AT5G57500	32
AT1G55265	92
AT1G55260	76
AT4G23300	13
AT2G40100	92
AT4G23870	69
AT2G47730	52
AT3G54230	15
AT1G72750	81
AT3G07630	26
AT4G04870	41
AT2G19385	94
AT4G08180	68
AT1G72200	78
AT5G20540	46
AT3G51070	55
AT1G62770	69
AT3G54770	66
AT2G44640	40
AT1G73330	36
AT1G63170	19
AT2G47590	23
AT2G32120	42
AT5G14920	18
AT4G18910	4
AT1G09180	4
AT5G43500	47
AT5G01090	36
AT3G24760	80
AT1G17640	6
AT5G02270	85
AT1G67690	59
AT1G01070	78
AT5G59480	3
AT4G02130	65
AT1G77920	35
AT1G54360	70
AT1G12120	18
AT3G20865	48
AT1G29440	48
AT1G23390	79
AT5G57130	38
AT1G55880	88
AT2G32260	6
AT5G07730	33
AT1G03380	96
AT1G73760	35
AT3G15000	26
AT3G15550	100
AT5G25110	35
AT2G35960	74
AT1G54130	27
AT5G65110	68
AT5G01890	95
AT3G13740	26
AT1G15870	26
AT1G58100	38
AT2G21960	13
AT1G54680	10
AT5G02010	38
AT3G26740	80
AT1G29195	82
AT1G29660	36
AT1G53300	21
AT2G37030	79
AT1G11690	84
AT2G25060	100
AT5G13320	53
AT4G33070	25
AT1G13830	92
AT1G27090	90
AT3G53920	95
AT5G61380	59
AT3G56730	24
